id,title,status,reproduction_status,page,method,capsule,package,package_sha256,result_page
RES-0001,Bundled historical Cicada 3301 OpenPGP artifact identity,VERIFIED,REPRODUCED,,,CAP-0001,RES-0001/RES-0001.zip,346835bd2521825b187c988bf0a41520c6ef21a659c42459348f496a78a65caf,RES-0001/result.html
RES-0002,Expedition verifier synthetic control behavior,KNOWN_CONTROL,REPRODUCED,,,CAP-0001,RES-0002/RES-0002.zip,0c2f070b6a611dc3db8114a8c0f185d63dddc66aba5273ad60668d02deb1e64a,RES-0002/result.html
RES-0003,Common Crawl body acquisition was blocked in the historical runtime,BOUNDED_NEGATIVE,HISTORICAL_ONLY,,,CAP-0002,RES-0003/RES-0003.zip,22fc29a30869063bc324acfcecc265efaec1293af4a1f845ff4fdd96b6e6cf8e,RES-0003/result.html
RES-0004,Negative Page 32 displacements did not support block reversal,BOUNDED_NEGATIVE,PARTIAL,,,CAP-0002,RES-0004/RES-0004.zip,509574930a1a698497aa3ffcc0e085696a01357e509639ce85d708b7104904ce,RES-0004/result.html
RES-0005,Page 32 spiral turns did not pass the page-boundary holdout,BOUNDED_NEGATIVE,REPRODUCED,,,CAP-0002,RES-0005/RES-0005.zip,faacb2d5184f36db1438d2035009a0cbd3f8dba6e7cb23ee3ea20f6f998ecd53,RES-0005/result.html
RES-0006,Page 32 signed prime gaps did not match payload-junction residues,BOUNDED_NEGATIVE,REPRODUCED,,,CAP-0002,RES-0006/RES-0006.zip,14ed2c47d0121f0ae5527e4e877503087cc369f7e74261dca5c60b18937aea6e,RES-0006/result.html
RES-0007,No eligible terminal holdout remained for the Page 32 red edge,CORRECTION,REPRODUCED,,,CAP-0002,RES-0007/RES-0007.zip,daa56df1792447804bb8d96df0140b3d9efeed25c6d665e31f9e153eba72e775,RES-0007/result.html
RES-0008,Default-key OutGuess does not separate an LP2 page,BOUNDED_NEGATIVE,PARTIAL,,,CAP-0003,RES-0008/RES-0008.zip,a10cd3d2284b8cd6360042969ebfa61df056ae771472b3aecd531acd2e9be536,RES-0008/result.html
RES-0009,The complete Page 05 board fails the declared direct Page 33 family,BOUNDED_NEGATIVE,PARTIAL,,,CAP-0004,RES-0009/RES-0009.zip,d1811e81091e881b532171ff345fd4da3b66b88bb95ab1211e4259db913aaaee,RES-0009/result.html
RES-0010,Solved-LP1 dollar segments align with operation frames,STRUCTURAL,PARTIAL,,,CAP-0004,RES-0010/RES-0010.zip,5b9187553c480569b07968f27e30763a8548343a8ed3066bce2a86ab87543fa6,RES-0010/result.html
RES-0011,Segment-wide replay recovers both established terminal controls,KNOWN_CONTROL,PARTIAL,,,CAP-0004,RES-0011/RES-0011.zip,592aca8935fd5cf6681756f30d7da29cc4e294d6aecaa779b5ed53187b0ebd92,RES-0011/result.html
