pair,is_negative_signed_pair,ll_DD,ll_DR,ll_RD,ll_RR,best_orientation,rr_rank,rr_margin_over_best_non_rr
1-2,False,-3.5761800683719653,-3.548506458665884,-3.54484650465851,-3.522235624393295,RR,1,0.02261088026521474
2-3,False,-3.492358660274968,-3.544854667119282,-3.483262982935404,-3.5283422252062895,RD,3,-0.045079242270885445
3-4,False,-3.560830295153655,-3.509520730065382,-3.598100293499908,-3.5417279989707686,DR,2,-0.0322072689053865
4-5,False,-3.6051628539934124,-3.5440501890804477,-3.5396078769592103,-3.4859119766196747,RR,1,0.05369590033953564
5-6,False,-3.5415071633214263,-3.546324071237092,-3.517778916777163,-3.5136284968169975,RR,1,0.004150419960165408
6-7,False,-3.50079791049354,-3.515223428298986,-3.4876138369847367,-3.49968531965762,RD,2,-0.01207148267288316
7-8,False,-3.5551819233879294,-3.5031625034183236,-3.5663226923568025,-3.5166573075197594,DR,2,-0.013494804101435776
8-9,False,-3.5569465846031285,-3.586289024863544,-3.514033117562159,-3.5472801562575387,RD,2,-0.033247038695379594
9-10,False,-3.5201134977568076,-3.561205860127852,-3.527933030299635,-3.574088122111546,DD,4,-0.05397462435473832
10-11,False,-3.5093691312325053,-3.5629139047881337,-3.545838577507176,-3.5933958718732644,DD,4,-0.0840267406407591
11-12,False,-3.560252441001075,-3.525965473510836,-3.6019929925730914,-3.5677060250828525,DR,3,-0.04174055157201639
12-13,False,-3.465142204437601,-3.5625618315424483,-3.449398052627998,-3.5444636446002833,RD,3,-0.09506559197228537
13-14,False,-3.5437487437692,-3.4596393985896863,-3.6803974032986693,-3.597838621421557,DR,3,-0.13819922283187092
14-15,False,-3.6479575515204745,-3.593169795543767,-3.5408284355655715,-3.4912474299675376,RR,1,0.04958100559803391
15-16,True,-3.5037642060565175,-3.5427750789664114,-3.4764553186774947,-3.506498863711558,RD,3,-0.030043545034063257
