page,filename,source_selection,size_bytes,width,height,sha256
0,00.jpg,/Libur Primus/00(1).jpg,168876,2400,3600,184e6f9de8695d99435c2bef4fd7e304a8a0f704dbe04439fa8bf13c4da395a7
1,01.jpg,/Libur Primus/01(1).jpg,1476614,2400,3600,71f4bd03c692ede630091272597d2b18702184ed32fdd1977ef0ba7306632b46
2,02.jpg,/Libur Primus/02(1).jpg,175159,2400,3600,0297572bbc2d234f84df634c6f0474011ff5df66c2ce987c3bb7aa0c635799b4
3,03.jpg,/Libur Primus/03(1).jpg,892759,2400,3600,b8b142f9b7854ec4f240e076cad03a98a2e3e9cf7c20f1da4fcde1ed25e3be3f
4,04.jpg,/Libur Primus/04(1).jpg,1223337,2400,3600,745c6a46f67de1e5a2a9ac76175c323af82c2432e3b7483a8dc6244f8de9478f
5,05.jpg,/Libur Primus/05(1).jpg,673066,2400,3600,2db94921ae5216d8a589890495fa5432446cd3227c45fbeb4934cbb0525112f7
6,06.jpg,/Libur Primus/06(1).jpg,823807,2400,3600,913e26462e51942f49ca3ce2e94ef56c5fb65110814442dccc02b0d88af2c5ca
7,07.jpg,/Libur Primus/07(1).jpg,823514,2400,3600,b50c1536ea1f30847e7875835991d52951bafb599fb1ab04eb78c5c6e6c2b468
8,08.jpg,/Libur Primus/08(1).jpg,638805,2400,3600,f0edba1084df9983353c11544bbf711f94ed7649edbf94b426c9b78549b64557
9,09.jpg,/Libur Primus/09(1).jpg,724577,2400,3600,975cda73bbf829b2775f25beb609d34fa429728b2f2a4ce863c129b10b005089
10,10.jpg,/Libur Primus/10(1).jpg,4240957,2400,3600,12ebfe421c129f2ef78d527c1630e358963da8d8dfdf9620eb977980d7967376
11,11.jpg,/Libur Primus/11(1).jpg,712733,2400,3600,7bd11a2c9f5b512e33c9db170756e3b34cc1e29eb405373eb94957383a61be7d
12,12.jpg,/Libur Primus/12(1).jpg,703428,2400,3600,a5b58076e169f3f59c8a394dbef37da18226c9c4fff703df3be8dc95cf16291c
