page,label,development_positive,held_out_positive,raw_header_hex,decoded_header_hex,seed,declared_length,recovered_length,missing_bytes,complete,capacity_margin_bits,non_attractor_header,raw_ff_prefix_bytes,raw_ff_suffix_bytes,raw_entropy_bits_per_byte,output_entropy_bits_per_byte,output_printable_fraction,pgp_armor_signature,header_zero_count,printable_count_64,p_header,p_printable,p_pgp,fwer_p_header,fwer_p_printable,fwer_p_pgp,minimum_familywise_p,eligible_coefficients,global_odd_fraction,stratified_parity_z,weighted_mean_abs_odd_deviation,detector_positive,detector_reason,output_sha256
0,known_positive,True,False,9c5e8417,a300530b,163,2899,2899,0,True,67,True,0,0,7.936255619214802,5.217932916316422,1.0,True,17,64,1.0,0.0001220703125,0.0001220703125,1.0,0.0274658203125,0.0274658203125,0.0274658203125,154283,0.12967079976406992,1313.03905368354,0.38983880271967747,True,complete + non-attractor header + familywise matched-null anomaly,2efba5e2283fa16592bedb7c339223bf2db94f07cf2d42188684aa393c12d180
1,known_positive,True,False,4c5e8417,7300530b,115,2899,2899,0,True,1267,True,0,0,7.932282574546668,5.189154256888096,1.0,True,18,64,1.0,0.0001220703125,0.0001220703125,1.0,0.0274658203125,0.0274658203125,0.0274658203125,1025122,0.45938824842311454,816.505596357227,0.16993782203484073,True,complete + non-attractor header + familywise matched-null anomaly,da4ad19d7e46a9df54fe800bb2477914fbb7b83d34e4ea748760ce2e0902e656
2,known_positive,True,False,615e8417,5e00530b,94,2899,2899,0,True,118,True,0,0,7.938920910436256,5.21390906471106,1.0,True,18,64,1.0,0.0001220703125,0.0001220703125,1.0,0.0274658203125,0.0274658203125,0.0274658203125,158963,0.13957335983845298,1416.904677852521,0.3816517051137686,True,complete + non-attractor header + familywise matched-null anomaly,b1d1d69e32e6c5725dffbcd871c2acb482371889d48ce6734c17741816ad23a3
3,known_positive,True,False,405e9660,7f00417c,127,31809,31809,0,True,153,True,0,0,7.994013367590435,4.232093559449897,1.0,True,20,64,0.01953125,0.0001220703125,0.0001220703125,1.0,0.0274658203125,0.0274658203125,0.0274658203125,811192,0.5953251511356128,938.3779270088642,0.1333358810244677,True,complete + non-attractor header + familywise matched-null anomaly,a14c1e144760c361a39da41e4784a9a22a3ce490baf42d9eb99b37feab8a47c1
4,known_positive,True,False,ddcbb301,e295641d,38370,7524,7524,0,True,661,True,0,6,7.829660574147401,7.9783260101421645,0.38556618819776717,False,15,25,0.46142578125,0.4544677734375,1.0,1.0,1.0,1.0,1.0,1164245,0.5770580934425315,1162.8610154798334,0.13962825693904635,True,complete + non-attractor header,35d31e61275c6b0420e7729161d5f6272122ea7edb87076fe84f3fe3c70af6db
5,unlabeled,False,False,ffffffff,c0a128e3,41408,58152,47128,11024,False,0,False,3100,3709,6.253841776710907,7.995336978889096,0.3795620437956204,False,0,22,1.0,0.6925048828125,1.0,1.0,1.0,1.0,1.0,377578,0.6897064977302703,1245.0256086767638,0.2817960792207173,False,rejected: incomplete extraction,46a219b2ee9b69632d23cfe9f6455df03d7d73436459a5be7ac24af87268a1ca
6,unlabeled,False,False,ffffffff,c0a128e3,41408,58152,58152,0,True,73,False,53,1,7.588766525312746,7.9969369683394405,0.3821708625670656,False,0,20,1.0,0.83642578125,1.0,1.0,1.0,1.0,1.0,800881,0.5962471328449545,1269.0486103114051,0.18089266695052073,False,rejected: dominant FFFFFFFF attractor header without familywise anomaly,7551f316388ef7f413b72d6ea30c422ee174406d226c24375a72377adbe42064
7,unlabeled,False,False,ffffffff,c0a128e3,41408,58152,58152,0,True,60,False,53,1,7.597864430847535,7.9971941262626665,0.3820848810015133,False,0,20,1.0,0.8260498046875,1.0,1.0,1.0,1.0,1.0,804376,0.5951656936557033,1333.262907052804,0.18062075447303252,False,rejected: dominant FFFFFFFF attractor header without familywise anomaly,c1af55ba9d982c7c8a463ac81c68bf9b8a7b814b54e395d9b6920a340fdfcfd5
8,known_positive,False,True,195e5b1c,26008c00,38,140,140,0,True,2286,True,0,0,6.582644981137961,4.737414739963279,1.0,False,16,64,0.0001220703125,0.0001220703125,1.0,0.0274658203125,0.0274658203125,1.0,0.0274658203125,578114,0.6262000228328669,1413.26158631952,0.19760635445604155,True,complete + non-attractor header + familywise matched-null anomaly,4767d811f22abdb15bfee53c29bbd2488b123a9c290f63712f4ed12fdbc5963d
9,unlabeled,False,False,ffffffff,c0a128e3,41408,58152,58152,0,True,35,False,53,1,7.489147536138786,7.996830999394781,0.38399367175677535,False,0,20,1.0,0.8330078125,1.0,1.0,1.0,1.0,1.0,704507,0.6071380412117977,1026.2993429635162,0.17527930879324122,False,rejected: dominant FFFFFFFF attractor header without familywise anomaly,a35f439175a16486e6b5699cc45a265fa9d82eea15b92a52a124d549d97ff4f1
